Wild Whatcom,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Financial assistance awarded,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Permits & Fees,5000,5013.46,,2193.3,4252,,4880,,1371,,-82,,1396.76,,1681,,,,,,,,,
Supplies,4000,3991.76,,4700.73,4786,,1108,,4149,,4745.46,,971.88,,3076,,,,,,,,,
Transport,1200,1100,,1172.62,1840,,1915,,735,,0,,100,,957,,,,,,,,,
First Aid,2125,2104.16,,1696.9199999999998,2084,,1078,,1484,,1822.31,,1937.69,,1780,,,,,,,,,
Postage,2800,2688,,1547.46,2144,,3606,,1401,,962.6800000000001,,291.52,,410,,,,,,,,,
Printing & Copying,1850,2431.22,,2630.2400000000002,1861,,2737,,3366,,1985.7099999999998,,1859.15,,1893,,,,,,,,,
Outreach & Marketing,4500,4435.31,,4129.889999999999,5334,,2134,,4029,,6699.530000000001,,1495.76,,3378,,,,,,,,,
Advertising,0,0,,0,981,,3548,,,,,,,,,,,,,,,,,
SWAG,0,0,,0,1002,,581,,,,914.4100000000001,,957.82,,346,,,,,,,,,
City of Bellingham,0,0,,0,0,,953,,588,,114.37,,1708.8,,1488,,,,,,,,,
WA Dept of Revenue,100,0,,174.44,0,,7786,,2054,,1560.5900000000001,,33.15,,20,,,,,,,,,
Transportation/Standard Maintenance ,4500,4553.19,,3392.1800000000003,10089,,43,,2586,,1901.6,,1795.75,,2595,,,,,,,,,
Mileage reimbursement,3500,3301.98,,2779.8600000000006,2066,,,,,,,,,,,,,,,,,,,
Other,,0,,232.98000000000002,19057,,,,46,,-718.83,,,,,,,,,,,,,
Total Expenses,967628,954947.63,,1158754.3299999996,1131168,,996665,,725207,,625188.85,,511020.77,,532581,,,,,,,,,
Net,-4853,-18156.2,,-93832.34999999963,-199971,,71103,,-10369,,225255.93,,-6728.22,,3631,,,,,,,,,
,,-9171.2,<<< this would be the # if I had not recognized 8k of a grant in FY25 instead of FY26,,,,,,,,,,,,,,,,,,,,,
RESERVE FUNDING - Actuals + Anticipated (updated 10/22/25),,,,,,,,,,,,,,,,,,,,,,,,
6 months operating expenses w/this budget,477473.815,,,,,,,,,,,,,,,,,,,,,,,
Three months,238736.9075,,,,,,,,,,,,,,,,,,,,,,,
One month,79578.96917,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Reserves as of Sept 2025,203419.3,,,,,,,,,,,,,,,,,,,,,,,
months reserve with this budget (FY 26),2.328040963,,,,,,,,,,,,,,,,,,,,,,,
months reserve end of FY 26 guess,185263.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
RESERVE FUNDING - How budget was passed (06/2025),,,,,,,,,,,,,,,,,,,,,,,,
6 months operating expenses w/this budget,483814,,,,,,,,,,,,,,,,,,,,,,,
Three months,241907,,,,,,,,,,,,,,,,,,,,,,,
One month,80635.66667,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Reserves as of Sept 2025,184394,,,,,,,,,,,,,,,,,,,,,,,
months reserve with this budget (FY 26),2.226570542,,,,,,,,,,,,,,,,,,,,,,,
months reserve end of FY 26 guess,179541,,,,,,,,,,,,,,,,,,,,,,,
