Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Wild Whatcom,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Total Expenses,957107.63,78371.11,74042,75051.32,82929.8,74698.8,82329.8,82323.8,87520.8,74558.8,72824.8,97038.8,75417.8,1914215.26
,,,,,,,,,,,,,,
Monthly Net Income,-20316.2,243520.32,-54842,-40251.32,-8929.8,-21398.8,78570.2,-19623.8,-34520.8,-14558.8,-21124.8,-73538.8,-53617.8,-20316.2
WECU Checking,90235,333755.32,278913.32,238662,229732.2,208333.4,286903.6,267279.8,282759,268200.2,247075.4,173536.6,119918.8,
,,,,,,,,,,,,,,
WECU Savings,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Amount Reserves avaible in WECU Savings,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,
CD#1,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,
CD #2,50000,50000,50000,50000,50000,50000,50000,50000,0,,,,,
Total ORG Funds,260235,503755.32,448913.32,408662,399732.2,378333.4,456903.6,437279.8,402759,388200.2,367075.4,293536.6,239918.8,
Reserves NOT in CD ,,289766.29,234924.29,194672.97,185743.17,164344.37,242914.57,223290.77,238769.97,224211.17,203086.37,129547.57,75929.77,
Reserves each month,196245.97,439766.29,384924.29,344672.97,335743.17,314344.37,392914.57,373290.77,338769.97,324211.17,303086.37,229547.57,175929.77,
months/reserve,2.43373656,5.453744083,4.773623211,4.274448073,4.163705515,3.898329151,4.872714349,4.629350577,4.201242254,4.020691877,3.758713514,2.846725022,2.181786017,
